Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Consumption Tips
Pin wheel biscuit,404.6,54.56,5.4,18.66,23.25,1.16,44.65,42.7,"A great option during festive occasions — just keep portions in check. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Saffron biscuit (Kesar biscuit),458.61,59.7,6.05,22.01,22.42,1.9,49.64,25.71,Works well as a side dish or main course depending on your daily energy needs. | Combining with a protein source makes this a more complete and satisfying meal.
Masala biscuit,393.64,45.18,6.06,20.75,6.82,2.14,51.29,53.73,Ideal when combined with seasonal vegetables for a wholesome meal. | A great option during festive occasions — just keep portions in check.
Ice box cookies,374.24,56.09,5.7,14.44,26.69,1.28,70.82,18.5,Consider halving portion size if watching total caloric consumption. | Consume sparingly; high sugar content may spike blood glucose levels.
Ginger bread man,365,60.26,6.61,11.01,29.12,1.6,75.31,37.92,Moderate fat content — suitable for active individuals with higher energy demands. | Limit frequency for those managing diabetes or insulin sensitivity.
Danish cookies,475.33,58,5.33,24.92,21.73,1.37,63.58,15.97,Ideal when combined with seasonal vegetables for a wholesome meal. | Opt for smaller servings and pair with salads or raw vegetables for balance.
Short bread cookies,443.09,64.82,6.03,17.98,23.31,1.57,45.48,15.92,Include in your weekly rotation to diversify your nutritional intake. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Coffee biscuit,416.57,46.55,6.9,23,21.69,1.59,63.97,48.92,Works well as a side dish or main course depending on your daily energy needs. | A great option during festive occasions — just keep portions in check.
Melting moments,437.91,55.84,5.71,21.78,25,1.88,80.33,30.39,"Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Ginger biscuit (Adarak ke biscuit),417.91,58.44,5.98,18.31,27.06,1.49,81.73,25.97,Consume in moderate portions and savour mindfully for maximum enjoyment. | A great option during festive occasions — just keep portions in check.
Soyabean muthias,839.33,3.7,2.46,90.45,0.17,1.47,0,12.16,Consume in moderate portions and savour mindfully for maximum enjoyment. | Moderate fat content — suitable for active individuals with higher energy demands.
Soyabean tikki,698.17,4.39,3.53,74.02,0.35,2.2,0,29.23,A great option during festive occasions — just keep portions in check. | Opt for smaller servings and pair with salads or raw vegetables for balance.
Soyabean namak paras,838.46,4.65,2.65,89.83,0.22,1.41,0,12.13,Ideal when combined with seasonal vegetables for a wholesome meal. | Opt for smaller servings and pair with salads or raw vegetables for balance.
Peanut burfi (Moongfali ki burfi),550.99,48.14,9.31,36.84,43.08,4.09,0,25.2,Consider halving portion size if watching total caloric consumption. | Great as a midday meal to maintain healthy gut function and satiety.
Spinach peanut namak paras (Palak moongfali namak paras),740.16,6.62,1.65,78.51,0.28,0.81,0,13.35,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Moderate fat content — suitable for active individuals with higher energy demands."
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.89,7.63,2.08,80.04,0.25,1.39,0,12.13,Rich in fats — consume mindfully and balance with active movement during the day. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Rice moong dal cheela (Chawal aur moong dal ka cheela),798.26,11.13,2.74,82.44,0.15,1.18,0,4.99,Moderate fat content — suitable for active individuals with higher energy demands. | Rich in fats — consume mindfully and balance with active movement during the day.
Split bengal gram sweet rice (Channa dal sweet rice),190.21,41.07,4.15,0.64,19.41,2.23,0,30.37,Very low in fat — an excellent choice for heart-healthy and low-fat diets. | Works well as a side dish or main course depending on your daily energy needs.
Sweet poori (Meethi poori),782.75,14.26,2.12,79.63,7.15,1.54,0,34.24,Combining with a protein source makes this a more complete and satisfying meal. | Opt for smaller servings and pair with salads or raw vegetables for balance.
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),441.08,60,9.84,18.41,31.12,6.02,35.14,25.2,Works well as a side dish or main course depending on your daily energy needs. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Spinach burfi (Palak burfi),121.17,12.76,2.71,6.81,12.12,1.17,5.65,93.68,Fresh preparation retains the most nutrients; avoid overcooking. | Include in your weekly rotation to diversify your nutritional intake.
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),366.59,62.66,9.51,7.93,24.73,8.16,15.56,53.3,Great as a midday meal to maintain healthy gut function and satiety. | Consume sparingly; high sugar content may spike blood glucose levels.
Sprouted moong daliya ,111.56,14.77,2.81,4.71,1.67,3.12,0,22.62,Ideal when combined with seasonal vegetables for a wholesome meal. | Include in your weekly rotation to diversify your nutritional intake.
Sprouted moong poha ,192.6,26.6,5.59,6.89,1.93,3.13,0,28.39,Consume in moderate portions and savour mindfully for maximum enjoyment. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Pearl millet ladoo (Bajra ladoo),319.66,50.98,9.61,8.06,27.44,6,0,118.74,Consume sparingly; high sugar content may spike blood glucose levels. | Ideal for breakfast or lunch to sustain energy and curb hunger longer.
Paushtik ladoo,485.87,60.34,7.65,24.98,38.12,4.57,52.71,20.67,A great option during festive occasions — just keep portions in check. | Ideal when combined with seasonal vegetables for a wholesome meal.
Paushtik roti,149.26,26.59,7.17,1.51,2.03,5.74,0,52.74,Excellent choice for those managing cholesterol or blood sugar levels. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Semolina carrot vada (Suji gajar vada),699.53,6.52,1.56,74.07,1.21,1.07,1.18,26.47,Balance with lighter meals throughout the day to manage daily calorie intake. | Enjoy in controlled portions; best reserved as an occasional indulgence.
Dhokla,216.49,30.68,13.45,5.28,4.78,4.95,5.16,123.21,Fresh preparation retains the most nutrients; avoid overcooking. | A good addition for elderly individuals to maintain healthy bone density.
Kashmiri tea (Kehwa),24.9,5.23,0.17,0.51,5.14,0.16,0,3.19,Works well as a side dish or main course depending on your daily energy needs. | Include in evening meals for light yet satisfying nourishment.
Steeped hot coffee,15.91,3.01,0.39,0.33,2.96,0,0,10.4,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | A great option during festive occasions — just keep portions in check.
Hot chocolate,90.01,9.02,3.43,4.61,8.86,0,0.02,113.63,Fresh preparation retains the most nutrients; avoid overcooking. | Include in your weekly rotation to diversify your nutritional intake.
Cold coffee (with cream),82.76,11.98,1.93,3.29,11.91,0,3.29,64.43,Can be eaten generously without fear of calorie overload; great as a snack. | A smart low-calorie option — ideal for weight management plans.
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),76.45,11.15,2.01,2.77,9.94,0.27,1.3,68.3,Ideal when combined with seasonal vegetables for a wholesome meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Flavoured milkshake,66.78,8.65,2.06,2.83,8.61,0,0,75.05,Combining with a protein source makes this a more complete and satisfying meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Jal jeera,30.24,6.7,0.44,0.26,5.71,0.95,0,24.72,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Include in evening meals for light yet satisfying nourishment."
Gingo,48.02,12.42,0.14,0.06,12.08,0.17,0,6.33,Can be eaten generously without fear of calorie overload; great as a snack. | Very low in fat — an excellent choice for heart-healthy and low-fat diets.
Mintade,40.32,10.59,0.03,0.02,10.47,0.03,0,2.1,Combining with a protein source makes this a more complete and satisfying meal. | Can be eaten generously without fear of calorie overload; great as a snack.
Canjee,6.61,0.44,0.24,0.42,0.21,0.36,0,5.82,A great option during festive occasions — just keep portions in check. | Can be eaten generously without fear of calorie overload; great as a snack.
Cauliflower canjee (Phoolgobhi ki canjee),6.9,0.35,0.39,0.42,0.09,0.49,0,6.26,Pair with a glass of water or herbal tea for optimal digestive comfort. | Include in your weekly rotation to diversify your nutritional intake.
Potato canjee (Aloo canjee),16.26,2.69,0.44,0.39,0.1,0.43,0,5.21,Can be eaten generously without fear of calorie overload; great as a snack. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Vermicelli porridge (Semiya/Seviyan porridge),78.4,10.56,2.5,2.98,7.04,0.48,0.62,72.96,Can be eaten generously without fear of calorie overload; great as a snack. | Include in evening meals for light yet satisfying nourishment.
Semolina upma (Suji/Rava upma),147.89,16.31,3.3,7.49,1.31,3.24,0,21.57,Pair with a glass of water or herbal tea for optimal digestive comfort. | A great option during festive occasions — just keep portions in check.
Vermicelli upma (Semiya/Seviyan upma),149.11,16.88,3.11,7.45,1.4,3.21,0,20.3,"Ideal when combined with seasonal vegetables for a wholesome meal. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Rice upma,151.27,17.96,2.63,7.46,1.13,2.12,0,17.57,Ideal when combined with seasonal vegetables for a wholesome meal. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Bread upma,129.51,12.6,2.8,7.75,1.56,1.96,0,45.22,A great option during festive occasions — just keep portions in check. | Works well as a side dish or main course depending on your daily energy needs.
Vegetable upma,146.47,16.46,4.73,6.63,1.39,4.19,0,26.68,Works well as a side dish or main course depending on your daily energy needs. | Combining with a protein source makes this a more complete and satisfying meal.
Poha,294.53,35.05,6.09,14.14,0.87,3.72,0,37.67,Combining with a protein source makes this a more complete and satisfying meal. | Works well as a side dish or main course depending on your daily energy needs.
Vegetable poha,180.52,21.52,4.89,8.07,1.4,3.76,0,28.01,Include in your weekly rotation to diversify your nutritional intake. | Fresh preparation retains the most nutrients; avoid overcooking.
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),154.89,19.42,6.97,5.11,1.11,4.25,0,39.34,Ideal when combined with seasonal vegetables for a wholesome meal. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Paneer stuffed cheela/chilla,205.19,19.16,11.44,8.89,3.81,4.03,0,151.3,Consume in moderate portions and savour mindfully for maximum enjoyment. | A good addition for elderly individuals to maintain healthy bone density.
Indian style egg bhujia (Anda bhujia (Indian style)),102.83,3.76,6.1,7.02,1.95,1.53,145.28,31.9,Fresh preparation retains the most nutrients; avoid overcooking. | Consume in moderate portions and savour mindfully for maximum enjoyment.
French omelette/omlet,211.04,0.41,10.03,18.86,0.1,0.38,300.44,46.35,Include in your weekly rotation to diversify your nutritional intake. | Pair with complex carbs for a complete and balanced macronutrient meal.
Puffy omelette/omlet,188.15,0.08,8.82,16.84,0.08,0,268.82,34.96,Consume in moderate portions and savour mindfully for maximum enjoyment. | Works well as a side dish or main course depending on your daily energy needs.
Orange omelette/omlet,194.66,1.68,8.93,16.84,1.68,0,268.82,37.33,Add a side of leafy greens to boost micronutrient absorption. | Fresh preparation retains the most nutrients; avoid overcooking.
Cheese and mushroom omelette/omlet,205.63,1.68,9.69,17.82,1.07,0.93,184.53,148.77,Those with cardiovascular conditions should limit intake to once or twice a week. | Combining with a protein source makes this a more complete and satisfying meal.
Spanish omelette/omlet,157.45,5.1,8.25,11.44,1.03,2.54,145.23,31.72,Rich in dietary cholesterol — complement with high-fibre foods to maintain heart health. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Mixed stock,25.19,0.33,2.06,1.71,0.2,0.15,10.55,2.06,Can be eaten generously without fear of calorie overload; great as a snack. | Include in evening meals for light yet satisfying nourishment.
Meat stock,24.48,0,2.1,1.78,0,0,11.03,0.86,Very low in fat — an excellent choice for heart-healthy and low-fat diets. | Include in evening meals for light yet satisfying nourishment.
White stock,6.99,0.4,0.07,0.56,0.24,0.17,1.39,1.58,Ideal when combined with seasonal vegetables for a wholesome meal. | Can be eaten generously without fear of calorie overload; great as a snack.
Meat consomme (with mutton),29.76,0.51,14.86,13.68,0.24,0.71,0,115.88,Can be eaten generously without fear of calorie overload; great as a snack. | Best consumed post-workout to aid in muscle recovery and repair.
